OBJECTID,OSP_ID,FACILITY_NAME,STREET_ADDRESS,LOCATION,CAPACITY,MAIN_ENTRANCE_LONG,MAIN_ENTRANCE_LAT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
2881,913,7th and Irving Lot,1340 07th Avenue,7th Ave between Irving & Judah,36,-122.4638575,37.76334806,POINT (-122.463844 37.763344),109,109,7,11,14
2655,910,20th and Irving Lot,1275 20th Avenue,20th Ave between Lincoln & Irving,24,-122.4784895,37.76406077,POINT (-122.47848 37.764057),39,39,10,7,35
2905,946,SF General Hospital Garage,2501 23rd Street,24th St between San Bruno & Utah,1657,-122.4045195,37.7541871,POINT (-122.4045 37.75418),54,54,3,9,20
2644,890,Pier 48 Lot,Terry A Francois Blvd,Terry Francois @ Pier 48,9,-122.3870501,37.77531392,POINT (-122.38704 37.77531),34,34,1,10,4
2898,938,Lombard Street Garage,2055 Lombard Street,Moulton between Webster & Fillmore,197,-122.4348921,37.79964759,POINT (-122.434875 37.799644),15,15,4,6,13
2901,942,North Beach Garage,735 Vallejo Street,Vallejo between Stockton & Powell,180,-122.4094875,37.7983815,POINT (-122.40948 37.798378),106,106,6,3,6
2892,931,Civic Center Garage,355 McAllister Street,McAllister between Larkin & Polk,843,-122.4177671,37.78024657,POINT (-122.417755 37.780243),21,21,4,10,36
2650,905,Castro Theater Lot,457 Castro Street,Castro between 17th & 18th,20,-122.4346236,37.76170365,POINT (-122.43461 37.7617),38,38,3,5,5
2902,943,Performing Arts Garage,360 Grove Street,Grove between Franklin & Gough,600,-122.4225312,37.77810302,POINT (-122.422516 37.7781),21,21,4,11,9
2882,914,Junipero Serra and Ocean Lot,2500 Ocean Avenue,Ocean between Junipero Serra & Woodacre,20,-122.4721379,37.7314316,POINT (-122.47212 37.731426),62,62,10,8,41
2648,903,8th and Clement Lot,324 08th Avenue,8th Ave between Clement & Geary,26,-122.4664136,37.78231677,POINT (-122.4664 37.78231),5,5,8,4,11
2900,941,Moscone Center Garage,255 3rd Street,3rd St between Folsom & Howard,752,-122.3994795,37.78452379,POINT (-122.39947 37.78452),32,32,1,10,8
2890,924,Phelan Loop Lot,1000 Ocean Avenue,Ocean between Phelan & Plymouth,20,-122.4531232,37.72348896,POINT (-122.45311 37.723484),71,71,9,8,41
2909,951,Vallejo Street Garage,766 Vallejo Street,Vallejo between Stockton & Powell,162,-122.4097552,37.79867198,POINT (-122.409744 37.798668),106,106,6,3,6
2891,930,16th and Hoff Garage,44 Hoff Street,Hoff between 16th St & 17th St,105,-122.4207729,37.76425207,POINT (-122.42076 37.764248),53,53,3,2,20
2908,950,Union Square Garage,333 Post Street,Geary between Stockton & Powell,750,-122.407448,37.78767892,POINT (-122.40743 37.787674),19,19,6,3,8
2899,939,Mission Bartlett Garage,3255 21st Street,21st St between Mission & Valencia,352,-122.4204336,37.75684004,POINT (-122.42042 37.756836),53,53,3,2,20
2647,902,California and Steiner Lot,2450 California Street,California between Fillmore & Steiner,48,-122.4348029,37.7889185,POINT (-122.43479 37.788914),102,102,4,6,30
2910,892,Pier 1/2 Motorcycle Lot,,The Embarcadero north of Ferry Bldg,40,-122.3945236,37.79637385,POINT (-122.39451 37.796368),108,108,6,3,8
2656,911,8th and Irving Lot,1325 08th Avenue,8th Ave between Irving & Judah,41,-122.4654655,37.76352138,POINT (-122.465454 37.763515),109,109,10,11,14
2884,916,Pierce Street Garage,3252 Pierce Street,Pierce between Lombard & Chestnut,116,-122.4392853,37.80004661,POINT (-122.43927 37.80004),17,17,4,6,13
2887,920,SF General Hospital Lot,993 Potrero Ave,Potrero between 21st St & 22nd St,35,-122.4065162,37.75836396,POINT (-122.4065 37.758358),54,54,3,9,20
2886,919,Felton and San Bruno Lot,25 Felton Street,Felton between San Bruno & Girard,10,-122.4048064,37.72976445,POINT (-122.40479 37.72976),91,91,2,2,25
2906,948,St. Marys Square Garage,433 Kearny Street,Kearny between Pine & California,414,-122.4045476,37.79199927,POINT (-122.40453 37.791996),104,104,6,3,8
2912,893,Pier 52 Lot B,601 Terry A Francois Blvd,Terry Francois @ Pier 52,85,-122.38597,37.76963,POINT (-122.385956 37.769627),34,34,1,10,4
2652,907,Mission and Norton Lot,20 Norton Street,Norton between Mission & Alemany,28,-122.4351741,37.72497266,POINT (-122.43516 37.724968),94,94,9,1,28
2903,944,Polk Bush Garage,1399 Bush Street,Bush between Polk & Larkin,129,-122.4201006,37.78851674,POINT (-122.42009 37.788513),50,50,4,3,21
2911,925,7th & Harrison Lot,415 7th Street,7th St between Harrison & Bryant,193,-122.4056362,37.77534225,POINT (-122.405624 37.775337),32,32,1,10,34
2888,922,West Portal Lot,174 West Portal Avenue,West Portal between Vicente & 14th Ave,19,-122.4680364,37.73918993,POINT (-122.468025 37.739185),46,46,10,8,41
2649,904,9th and Clement Lot,330 09th Avenue,9th Ave between Clement & Geary,21,-122.4675036,37.78215118,POINT (-122.46749 37.782146),5,5,8,4,11
2907,949,Sutter Stockton Garage,444 Stockton Street,Bush between Stockton & Grant,1865,-122.4068556,37.78978292,POINT (-122.406845 37.78978),19,19,6,3,8
2896,935,Japan Center Garage,1610 Geary Blvd,Geary between Laguna & Webster,747,-122.4301614,37.78492201,POINT (-122.430145 37.784916),101,101,4,11,15
2897,936,Japan Center Annex Garage,1680 Fillmore St,Fillmore between Geary & Post,176,-122.4328662,37.78495474,POINT (-122.43285 37.78495),101,101,4,11,15
2893,932,Ellis OFarrell Garage,123 O'Farrell Street,O'Farrell between Powell & Stockton,530,-122.4071541,37.78639255,POINT (-122.40714 37.78639),19,19,6,3,8
2885,918,24th and Noe Lot,4061 24th Street,24th St between Noe & Castro,17,-122.4331622,37.75115308,POINT (-122.43315 37.75115),84,84,3,5,22
2645,891,Pier 52 Lot,601 Terry A Francois Blvd,Terry Francois @ Pier 52,54,-122.3859909,37.77018217,POINT (-122.38598 37.770176),34,34,1,10,4
2646,901,24th and Capp Lot,3255 24th Street,Lilac @ 24th St,20,-122.4175067,37.75208935,POINT (-122.417496 37.752083),53,53,3,2,20
2894,933,Fifth and Mission Garage,833 Mission Street,Mission between 5th and 4th Streets,2585,-122.4055376,37.78327767,POINT (-122.405525 37.78327),32,32,1,10,34
2904,945,Portsmouth Square Garage,733 Kearny Street,Kearny between Clay & Washington,504,-122.4050387,37.79486555,POINT (-122.40503 37.79486),104,104,6,3,6
2651,906,18th and Collingwood Lot,4116 18th Street,18th between Castro & Collingwood,28,-122.4358415,37.76111138,POINT (-122.43583 37.761105),38,38,3,5,5
2889,923,Claremont and Ulloa Lot,807 Ulloa,Ulloa between Claremont & West Portal,23,-122.4651654,37.74043876,POINT (-122.46515 37.740433),46,46,10,8,41
2883,915,19th and Ocean Lot,3000 19th Avenue,Ocean between Lagunitas & 19th Ave,20,-122.4746489,37.73239756,POINT (-122.47463 37.73239),62,62,10,8,41
2653,908,21st and Geary Lot,5732 Geary Blvd,Geary between 21st Ave & 22nd Ave,21,-122.4808482,37.78054149,POINT (-122.480835 37.780537),8,8,8,4,29
2654,909,18th and Geary Lot,421 18th Avenue,18th Ave between Geary & Anza,34,-122.4774621,37.77991856,POINT (-122.47745 37.779915),5,5,8,4,29
2895,934,Golden Gateway Garage,250 Clay Street,Clay between Front & Davis,1053,-122.3986032,37.79544154,POINT (-122.39859 37.795437),108,108,6,3,8